1,7273743,8e5aef5a-7c89-11ed-a256-cb1082eb2227,25,2,2,12/15/2022-15:02:55
2,5276735,5d7b621a-7c8a-11ed-a256-cb1082eb2227,24,2,2,12/15/2022-15:08:43
3,4515189,1e1a36e4-7c8c-11ed-a256-cb1082eb2227,25,2,2,12/15/2022-15:21:16
4,4515189,2b5c8442-7c8c-11ed-a256-cb1082eb2227,38,2,1,12/15/2022-15:21:38
5,2061183,8f9e1d8a-7c8c-11ed-a256-cb1082eb2227,28,2,2,12/15/2022-15:24:26
6,2061183,abaecccc-7c8c-11ed-a256-cb1082eb2227,25,2,2,12/15/2022-15:25:13
7,2061183,fe68d9b2-7c8c-11ed-a256-cb1082eb2227,33,2,2,12/15/2022-15:27:32
8,2061183,381d9da0-7c8d-11ed-a256-cb1082eb2227,25,2,2,12/15/2022-15:29:09
9,1226773,230786b4-7c8e-11ed-a256-cb1082eb2227,33,2,2,12/15/2022-15:35:43
10,1226773,9abc5c52-7c8e-11ed-a256-cb1082eb2227,27,1,2,12/15/2022-15:39:04
11,1226773,417b405c-7c90-11ed-a256-cb1082eb2227,27,2,2,12/15/2022-15:50:53
12,1226773,fbd17b12-7c93-11ed-a256-cb1082eb2227,47,1,2,12/15/2022-16:17:34
13,775986,e8854d0c-7c95-11ed-a256-cb1082eb2227,18,2,1,12/15/2022-16:31:21
14,775986,8ece12d8-7c97-11ed-a256-cb1082eb2227,30,2,2,12/15/2022-16:43:09
15,775986,15fd3a62-7c9e-11ed-a256-cb1082eb2227,25,3,1,12/15/2022-17:29:53
16,3113894,8025f4e2-7ca3-11ed-a256-cb1082eb2227,25,1,2,12/15/2022-18:08:38
17,2306457,2326af44-7cac-11ed-a256-cb1082eb2227,24,2,1,12/15/2022-19:10:28
18,2306457,89f3cd6c-7caf-11ed-a256-cb1082eb2227,41,1,2,12/15/2022-19:34:49
19,8588856,b9942dd8-7cb3-11ed-a256-cb1082eb2227,29,1,2,12/15/2022-20:04:47
20,2306457,f358597c-7cb3-11ed-a256-cb1082eb2227,38,2,1,12/15/2022-20:06:24
21,8588856,4a3c6e54-7cb4-11ed-a256-cb1082eb2227,32,1,2,12/15/2022-20:08:49
22,8588856,8e1faca8-7cb4-11ed-a256-cb1082eb2227,28,2,2,12/15/2022-20:10:43
23,6367617,b3c216f6-7cc0-11ed-a256-cb1082eb2227,27,1,2,12/15/2022-21:37:40
24,4451271,5194461a-7cc6-11ed-a256-cb1082eb2227,34,1,2,12/15/2022-22:17:53
25,47817,6aac475c-7cd4-11ed-a256-cb1082eb2227,26,2,2,12/15/2022-23:58:48
26,4051786,d75ec974-7ced-11ed-a256-cb1082eb2227,26,1,2,12/16/2022-03:00:48
27,1283682,2c5a3e9c-7d0f-11ed-a256-cb1082eb2227,29,1,2,12/16/2022-06:59:24
28,4584653,b60bfe00-7d14-11ed-a256-cb1082eb2227,39,2,1,12/16/2022-07:39:02
29,5731146,3c22394e-7d17-11ed-a256-cb1082eb2227,24,2,2,12/16/2022-07:57:06
30,5731146,50160600-7d1d-11ed-a256-cb1082eb2227,42,1,2,12/16/2022-08:40:36
31,8090539,11198526-7d22-11ed-a256-cb1082eb2227,,0,1,12/16/2022-09:14:38
32,8090539,12b311ce-7d25-11ed-a256-cb1082eb2227,26,1,2,12/16/2022-09:36:09
33,5807601,00dbe520-7d2a-11ed-a256-cb1082eb2227,18,1,1,12/16/2022-10:11:27
34,5807601,19e97364-7d2c-11ed-a256-cb1082eb2227,46,2,2,12/16/2022-10:26:28
35,5807601,b470506a-7d2c-11ed-a256-cb1082eb2227,24,1,1,12/16/2022-10:30:47
36,5807601,f081a2a2-7d2c-11ed-a256-cb1082eb2227,26,1,2,12/16/2022-10:32:28
37,3189151,f1f987b6-7d2d-11ed-a256-cb1082eb2227,32,2,2,12/16/2022-10:39:40
38,3189151,c0ed14d4-7d2e-11ed-a256-cb1082eb2227,27,2,1,12/16/2022-10:45:27
39,3189151,a07b7270-7d30-11ed-a256-cb1082eb2227,24,1,2,12/16/2022-10:58:52
40,7687456,e089614e-7d33-11ed-a256-cb1082eb2227,27,2,2,12/16/2022-11:22:08
41,7687456,0303a094-7d35-11ed-a256-cb1082eb2227,21,2,2,12/16/2022-11:30:15
42,1813711,a551bf0c-7d35-11ed-a256-cb1082eb2227,19,2,1,12/16/2022-11:34:47
43,1813711,9b9ed748-7d39-11ed-a256-cb1082eb2227,27,2,2,12/16/2022-12:03:09
44,4643101,55c5b8ca-7d3b-11ed-a256-cb1082eb2227,27,1,1,12/16/2022-12:15:31
45,1813711,5db14e00-7d3b-11ed-a256-cb1082eb2227,27,2,2,12/16/2022-12:15:44
46,7497782,e9d7c3d2-7d3b-11ed-a256-cb1082eb2227,33,2,2,12/16/2022-12:19:39
47,6995752,a67ccbd0-7d3d-11ed-a256-cb1082eb2227,24,2,2,12/16/2022-12:32:05
48,7989103,b521f0fc-7d3d-11ed-a256-cb1082eb2227,24,2,1,12/16/2022-12:32:30
49,1813711,012e0f3a-7d3e-11ed-a256-cb1082eb2227,23,3,2,12/16/2022-12:34:37
50,2567446,3724aad6-7d3e-11ed-a256-cb1082eb2227,24,1,2,12/16/2022-12:36:08
51,4643101,4e94a914-7d3e-11ed-a256-cb1082eb2227,24,2,1,12/16/2022-12:36:47
52,4643101,f56ea866-7d3e-11ed-a256-cb1082eb2227,21,2,2,12/16/2022-12:41:27
53,4643101,9fb78b12-7d3f-11ed-a256-cb1082eb2227,20,2,1,12/16/2022-12:46:13
54,7497782,60c0fe2e-7d40-11ed-a256-cb1082eb2227,39,1,2,12/16/2022-12:51:37
55,9966910,69e74458-7d46-11ed-a256-cb1082eb2227,28,2,2,12/16/2022-13:34:49
56,4908772,49537264-7d48-11ed-a256-cb1082eb2227,33,1,1,12/16/2022-13:48:13
57,1890812,49007892-7d49-11ed-a256-cb1082eb2227,30,1,2,12/16/2022-13:55:22
58,5879868,f696cc84-7d4b-11ed-a256-cb1082eb2227,28,2,1,12/16/2022-14:14:33
59,5879868,0f3f6fc8-7d4e-11ed-a256-cb1082eb2227,18,1,1,12/16/2022-14:29:33
60,5879868,bee596a6-7d57-11ed-a256-cb1082eb2227,22,2,1,12/16/2022-15:38:53
61,6976644,864005cc-7d5a-11ed-a256-cb1082eb2227,20,2,1,12/16/2022-15:58:47
62,9966910,e8b67060-7d5a-11ed-a256-cb1082eb2227,24,3,2,12/16/2022-16:01:32
63,9966910,3deadc3e-7d69-11ed-a256-cb1082eb2227,25,2,1,12/16/2022-17:44:08
64,4304625,cf257aee-7d6c-11ed-a256-cb1082eb2227,19,2,1,12/16/2022-18:09:40
65,4304625,81b428ec-7d70-11ed-a256-cb1082eb2227,28,2,2,12/16/2022-18:36:08
66,6976644,ab729720-7d77-11ed-a256-cb1082eb2227,22,2,1,12/16/2022-19:27:24
67,4304625,4e69523c-7d7f-11ed-a256-cb1082eb2227,33,1,2,12/16/2022-20:22:04
68,9651499,a181fdb4-7d81-11ed-a256-cb1082eb2227,29,2,1,12/16/2022-20:38:43
69,9651499,83284ae2-7d88-11ed-a256-cb1082eb2227,57,2,2,12/16/2022-21:27:58
70,9591200,3e50acfc-7d92-11ed-a256-cb1082eb2227,23,2,2,12/16/2022-22:37:38
71,9591200,b7b32c10-7d96-11ed-a256-cb1082eb2227,27,3,1,12/16/2022-23:09:39
72,939296,41e87482-7da4-11ed-a256-cb1082eb2227,37,2,2,12/17/2022-00:46:35
73,9591200,a2b6f9c8-7da4-11ed-a256-cb1082eb2227,23,2,1,12/17/2022-00:49:17
